"Title","PublicationDate","Year"
"statistics from the world health organization and the centers for disease control","1990 Sep",1990
"morphine promotes the growth of hiv 1 in human peripheral blood mononuclear cell cocultures","1990 Sep",1990
"care of the infant born exposed to human immunodeficiency virus","1990 Sep",1990
"overview sexually transmitted diseases","1990 Sep",1990
"antibody responses against polypeptide components of epstein barr virus induced early diffuse antigen in patients with connective tissue diseases","1990 Sep",1990
"molecular epidemiology of australian isolates of molluscum contagiosum","1990 Sep",1990
"management of cytomegalovirus disease with antiviral drugs","1990 Sep-Oct",1990
"epidemiology of cytomegalovirus infections","1990 Sep-Oct",1990
"hepatitis a b cmv ebv and hiv infections in premature and term newborn infants following polytransfusion","1990 Sep",1990
"can your nursing home resident possibly have aids","1990 Sep-Oct",1990
"cdc launches new aids hiv public education campaign","1990 Sep-Oct",1990
"cytomegalovirus retinitis in aids treatment with intravitreal injections of ganciclovir","1990 Sep 1-8",1990
"immunodominance of epitopes within the transmembrane protein gp41 of human immunodeficiency virus type 1 may be determined by the host s previous exposure to similar epitopes on unrelated antigens","1990 Sep",1990
"treatment of oral candidosis with itraconazole a review","1990 Sep",1990
"infection of epstein barr virus transformed lymphoblastoid b cells by the human immunodeficiency virus evidence for a persistent and productive infection leading to b cell phenotypic changes","1990 Sep",1990
"detection of human papillomavirus and epstein barr virus dna sequences in oral mucosa of hiv infected patients by the polymerase chain reaction","1990 Sep",1990
"nutritional status of hiv infected patients during the early disease stages","1990 Sep",1990
"synthesis and antiviral activity of some 3 c difluoromethyl and 3 deoxy 3 c fluoromethyl nucleosides","1990 Sep",1990
"azoles and aids","1990 Sep",1990
"murine models for evaluating antiretroviral therapy","1990 Sep 1",1990
"differential expression in human and mouse cells of human immunodeficiency virus pseudotyped by murine retroviruses","1990 Sep",1990
"antimicrobial susceptibility of non penicillinase and penicillinase producing neisseria gonorrhoeae strains isolated in tripoli libya","1990 Sep",1990
"fc and not cd4 receptor mediates antibody enhancement of hiv infection in human cells","1990 Sep-Oct",1990
"epidemiologic aspects of the spread of hiv in czechoslovakia","1990 Sep",1990
"synthetic protein corresponding to the entire vpr gene product from the human immunodeficiency virus hiv 1 is recognized by antibodies from hiv infected patients","1990 Sep",1990
"response of mononuclear cells from hiv infected patients to b cell mitogens correlation with immunological and clinical features of disease progression","1990 Sep",1990
"perception of sentences words and speech features by profoundly hearing impaired children using a multichannel electrotactile speech processor","1990 Sep",1990
"speechreading sentences with single channel vibrotactile presentation of voice fundamental frequency","1990 Sep",1990
"dendritic cell infection depletion and dysfunction in hiv infected individuals","1990 Sep",1990
"specific defect in cd3 gamma chain gene transcription results in loss of t cell receptor cd3 expression late after human immunodeficiency virus infection of a cd4 t cell line","1990 Sep",1990
"problem wounds of the horse","1990 Sep",1990
"generalized chain binomial model with application to hiv infection","1990 Sep",1990
"prospects for an aids vaccine","1990 Sep",1990
"is coexisting chlamydial infection more common in gonococcal infections with serogroup wi","1990 Sep",1990
"response of serum p24 antigen and antibody to p24 antigen in patients with aids and aids related complex treated with zidovudine","1990 Sep",1990
"detection of hiv antibody evaluation of four commercially available enzyme immunoassays","1990 Sep",1990
"possible applications of recombinant cd4 in the treatment of aids","1990 Sep",1990
"aids information","1990 Sep",1990
"new sensitive and specific assay for human immunodeficiency virus antibodies using labeled recombinant fusion protein and time resolved fluoroimmunoassay","1990 Sep",1990
"capacity to produce interleukin 2 is impaired in haemophilia in the absence and presence of hiv 1 infection","1990 Sep",1990
"phs proposes parallel track for new aids drugs","1990 Sep-Oct",1990
"sentinel surveillance of hiv infection among new inmates and implications for policies of corrections facilities","1990 Sep-Oct",1990
"drug users aids related knowledge attitudes and behaviors before and after aids education sessions","1990 Sep-Oct",1990
"aids related knowledge attitudes and precautionary behaviors among emergency medical professionals","1990 Sep-Oct",1990
"human immunodeficiency virus exanthem","1990 Sep",1990
"cutaneous histopathologic findings in antiphospholipid syndrome correlation with disease including human immunodeficiency virus disease","1990 Sep",1990
"induction of immune tolerance in patients with hemophilia a and inhibitors treated with porcine viiic by home therapy","1990 Sep 1",1990
"synthesis oligomerization and biological activity of the human immunodeficiency virus type 2 envelope glycoprotein expressed by a recombinant vaccinia virus","1990 Sep",1990
"co infection of macrophages modulates interferon gamma and tumor necrosis factor induced activation against intracellular pathogens","1990 Sep 1",1990
"phase 1 study of ribavirin in human immunodeficiency virus infected patients","1990 Sep",1990
"persistent infection of rhesus macaques with a molecular clone of human immunodeficiency virus type 2 evidence of minimal genetic drift and low pathogenetic effects","1990 Sep",1990
"goals and objectives for std aids control into the 1990s","1990 Sep",1990
"single dose fluconazole in the treatment of candida albicans balanoposthitis","1990 Sep",1990
"hiv 1 infection in hiv 1 enzyme linked immunoassay seronegative patients in kinshasa zaire","1990 Sep",1990
"serological perspectives on hepatitis b and d","1990 Sep",1990
"haematologic abnormalities in the acquired immunodeficiency syndrome","1990 Sep-Oct",1990
"fluconazole in the treatment of oropharyngeal candidosis in hiv positive patients","1990 Sep-Oct",1990
"aids motivation of people for testing analysis of a questionnaire","1990 Sep-Oct",1990
"fungal infections in aids patients","1990 Sep",1990
"oral candidosis in hiv infected patients","1990 Sep",1990
"hiv aids workshops in the kimberley","1990 Sep-Nov",1990
"hiv infection and aids in thalassemia and sickle cell disease","1990 Sep-Oct",1990
"use of polymerase chain reaction for early detection of the proviral sequences of human immunodeficiency virus in infants born to seropositive mothers","1990 Sep-Oct",1990
"derivatives of amphotericin inhibit infection with human immunodeficiency virus in vitro by different modes of action","1990 Sep",1990
"computer assisted structure activity correlations of dideoxynucleoside analogs as potential anti hiv drugs","1990 Sep",1990
"precautions taken by orthopaedic surgeons to avoid infection with hiv and hepatitis b virus","1990 Sep 1",1990
"effect of health education and condom promotion on behavioral change among low socioeconomic prostitutes in mae sot tak thailand","1990 Sep",1990
"survey of knowledge about aids and sexual behavior in sexually active men in mae sot tak thailand","1990 Sep",1990
"how can we organize the fight against h i v","1990 Sep",1990
"new treatments for cryptosporidiosis","1990 Sep",1990
"oral candidosis in hiv infected patients prognostic value and correlation with immunological parameters","1990 Sep-Oct",1990
"effect of hiv 1 infection on cd4 cells in a hemophilia cohort","1990 Sep-Oct",1990
"antibodies to cd4 in individuals infected with human immunodeficiency virus type 1","1990 Sep-Oct",1990
"pharmacokinetics of the anti aids drug 2 3 dideoxyinosine in the rat","1990 Sep-Oct",1990
"are animal retroviruses potential candidates for an aids vaccine","1990 Sep",1990
"intracellular localization of recombinant vaccinia virus produced hiv antigens and their use for confirmation of hiv seropositivity","1990 Sep",1990
"future medical prospects for sandostatin","1990 Sep",1990
"polyionic compounds selectively alter availability of cd4 receptors for hiv coat protein rgp120","1990 Sep",1990
"aids following mother to child transmission of hiv 2","1990 Sep",1990
"immunology of hiv disease and pregnancy and possible interactions","1990 Sep",1990
"antibodies to helicobacter pylori in hiv infection","1990 Sep 1",1990
"life threatening bacteraemia in hiv 1 seropositive adults admitted to hospital in nairobi kenya","1990 Sep 1",1990
"long term toxicity activity profile of 2 3 dideoxyinosine in aids or aids related complex","1990 Sep 1",1990
"immunopathogenesis of human immunodeficiency virus infection","1990 Sep 1",1990
"retroviral vectors as vaccines and immunotherapeutics","1990 Sep",1990
"risks of viral infectious complications for pregnant health professionals","1990 Sep-Oct",1990
"proposal for slowing hiv contagion among africans","1990 Sep",1990
"inhibition of urethane leukaemia virus a murine retrovirus in mice by zidovudine","1990 Sep",1990
"evaluation of the amount of nonoxynol available in condoms for the inhibition of hiv using a method based on hplc","1990 Sep",1990
"acquired immunodeficiency syndrome and epstein barr virus","1990 Sep",1990
"transcriptional activation of the human immunodeficiency virus long terminal repeat sequences by cis platin","1990 Sep",1990
"prevalence of hepatitis virus hbv and hcv and hiv 1 infections in a prison community","1990 Sep-Oct",1990
"exposition of epitopes of transmembrane protein gp41 of the human immunodeficiency virus on surface capsids of the hepatitis b virus core antigen","1990 Sep",1990
"rapid method for quantitating lymphocyte receptor capping capping defect in aids patients","1990 Sep",1990
"hiv 1 neutralizing monoclonal antibodies induced by a synthetic peptide","1990 Sep",1990
"immunogenicity and epitope mapping of a recombinant soluble gp160 of the human immunodeficiency virus type 1 envelope glycoprotein","1990 Sep",1990
"immunogenicity of the human immunodeficiency virus hiv recombinant nef gene product mapping of t cell and b cell epitopes in immunized chimpanzees","1990 Sep",1990
"characterization of monoclonal antibodies to human immunodeficiency virus type 1 gp41 by hiv 1 polypeptides expressed in escherichia coli","1990 Sep",1990
"hiv 1 and hiv 2 cross reactive cytotoxic t cell epitope","1990 Sep",1990
"negative staining em for the detection of epstein barr virus in oral hairy leukoplakia","1990 Sep",1990
"targeted killing of yeast expressing a hiv 1 peptide by antibody conjugated glucose oxidase and horseradish peroxidase","1990 Sep",1990
"strategies for improving clinical engineering in service instruction","1990 Sep-Oct",1990
"macrophage colony stimulating factor m csf in the cerebrospinal fluid","1990 Sep-Oct",1990
"immunologic issues in anti retroviral therapy","1990 Sep",1990
"hgp 30 a synthetic analogue of human immunodeficiency virus hiv p17 is a target for cytotoxic lymphocytes in hiv infected individuals","1990 Sep",1990
"variants selected by treatment of human immunodeficiency virus infected cells with an immunotoxin","1990 Sep 1",1990
"immunological crossreactivity between the human immunodeficiency virus type 1 virion infectivity factor and a 170 kd surface antigen of schistosoma mansoni","1990 Sep 1",1990
"linear b cell epitopes of the major core protein of human immunodeficiency virus types 1 and 2","1990 Sep",1990
"analysis of a highly immunodominant epitope in the human immunodeficiency virus type 1 transmembrane glycoprotein gp41 defined by a human monoclonal antibody","1990 Sep",1990
"20 year old hiv 1 positive hemophiliac patient with conspicuous plantar warts effects of zidovudine retrovir treatment","1990 Aug 31",1990
"duesberg replies","1990 Aug 30",1990
"avoiding exposure to hiv by needle stick","1990 Aug 30",1990
"kaposi s sarcoma and aids","1990 Aug 30",1990
"nucleocapsid protein isolated from hiv 1 particles binds zinc and forms retroviral type zinc fingers","1990 Aug 28",1990
"novel enzyme linked immunosorbent assay elisa for the detection of antibodies to hiv 1 envelope glycoproteins based on immobilization of viral glycoproteins in microtiter wells coated with concanavalin a","1990 Aug 28",1990
"anti p24 monoclonal antibody shows cross reactivity with multiple hiv 1 proteins","1990 Aug 28",1990
"experts disagree on new aids guidelines","1990 Aug 27",1990
"test system for determination of hiv 1 frameshifting efficiency in animal cells","1990 Aug 27",1990
"hepatitis b and hiv infections in dental professionals british columbia","1990 Aug 25",1990
"treating through hypersensitivity to cotrimoxazole in children with hiv infection","1990 Aug 25",1990
"partner notification for hiv in sweden","1990 Aug 25",1990
"trouble with t cells","1990 Aug 25",1990
"nucleotide sequences of the cdnas encoding the v regions of h and l chains of a human monoclonal antibody specific to hiv 1 gp41","1990 Aug 25",1990
"conserved sequence and structural elements in the hiv 1 principal neutralizing determinant","1990 Aug 24",1990
"burkitt s lymphoma in hiv infected patients","1990 Aug 24",1990
"tar independent activation of the hiv 1 ltr evidence that tat requires specific regions of the promoter","1990 Aug 24",1990
"aids testing trial approved for saliva test","1990 Aug 23",1990
"pneumocystis carinii pneumonia in infants infected with the human immunodeficiency virus with more than 450 cd4 t lymphocytes per cubic millimeter","1990 Aug 23",1990
"information about safe sex for homosexual men a consumer assessment of the efforts hitherto made in denmark","1990 Aug 20",1990
"effects of suramin on hormone release by cultured rat anterior pituitary cells","1990 Aug 20",1990
"when and how should primary prevention against pneumocystis carinii pneumonia be carried out in hiv infection","1990 Aug 18",1990
"aids the leading cause of adult death in the west african city of abidjan ivory coast","1990 Aug 17",1990
"mycoplasma can enhance hiv replication in vitro a possible cofactor responsible for the progression of aids","1990 Aug 16",1990
"aids programme faces donor fatigue","1990 Aug 16",1990
"hiv testing leaflets will come in ten languages","1990 Aug 15-21",1990
"anti retrovirus activity of 9 2 phosphonylmethoxyethyl adenine pmea in vivo increases when it is less frequently administered","1990 Aug 15",1990
"canada s national aids strategy neglects role of physicians","1990 Aug 15",1990
"hiv needs no visa md warns","1990 Aug 15",1990
"fighting aids in francophone african countries","1990 Aug 15",1990
"universal precautions","1990 Aug 15",1990
"polyanion binding site on the cd4 molecule proximity to the hiv gp120 binding region","1990 Aug 15",1990
"effects of a single course of deferoxamine in neuroblastoma patients","1990 Aug 15",1990
"interaction of human immunodeficiency and papilloma viruses association with anal epithelial abnormality in homosexual men","1990 Aug 15",1990
"immune status as a determinant of human papillomavirus detection and its association with anal epithelial abnormalities","1990 Aug 15",1990
"development of non hodgkin lymphoma in a cohort of patients with severe human immunodeficiency virus hiv infection on long term antiretroviral therapy","1990 Aug 15",1990
"extracorporeal photopheresis in the treatment of aids related complex a pilot study","1990 Aug 15",1990
"general procedure for evaluation of immunological relevance of synthetic peptides peptides synthesized on paper in enzyme linked immunosorbent assay","1990 Aug 15",1990
"heat shock induction of hiv production from chronically infected promonocytic and t cell lines","1990 Aug 15",1990
"the treatment of deafness","1990 Aug 14",1990
"hospital employees knowledge about hiv disease a study from 2 provincial hospitals","1990 Aug 13",1990
"azidothymidine azt in the treatment of symptomatic hiv 1 infected hemophiliacs","1990 Aug 13",1990
"the position of the aids committee of the ministry of social and health services on the publication controversies concerning aids published in medicus universalis no 6 1989","1990 Aug 12",1990
"precautions taken by orthopaedic surgeons to avoid infection with hiv and hepatitis b","1990 Aug 11",1990
"hiv 2 antibody in a low risk individual","1990 Aug 11",1990
"u k vaccine trial stalking horse for the future","1990 Aug 10",1990
"reducing hiv transmission in intravenous drug users not in drug treatment united states","1990 Aug 10",1990
"characterization of monoclonal antibodies directed against distinct conserved epitopes of human immunodeficiency virus type 1 core proteins","1990 Aug 10",1990
"early findings in the cerebrospinal fluid of patients with hiv 1 infection of the central nervous system","1990 Aug 9",1990
"aids in uganda clinical and social features","1990 Aug 9",1990
"did hiv and htlv originate in africa","1990 Aug 8",1990
"a warning against exaggerated optimism about isoprinosine in hiv infection","1990 Aug 8",1990
"finding funds for hiv treatment programs","1990 Sep",1990
"dot immunobinding and immunoblotting of picogram and nanogram quantities of small peptides on activated nitrocellulose","1990 Aug 7",1990
"tracking aids epidemic in libraries","1990 Aug 4",1990
"false positive autoantibodies in hiv infection","1990 Aug 4",1990
"characteristics of clients in alcohol and drug treatment centers south carolina 1989","1990 Aug 3",1990
"aids and the family physician survey of practices in aids counselling and hiv antibody testing","1990 Aug",1990
"the adolescent manages fertility badly uncertainty and pursuit of self in a society in transition","1990 Aug",1990
"pediatric aids children dramatize the far reaching costs of the pandemic","1990 Aug",1990
"aids what should we do","1990 Aug",1990
"aids risk increases for some national research council finds in ten year review of epidemic","1990 Aug",1990
"single copies of hiv proviral dna detected by fluorescent in situ hybridization","1990 Aug",1990
"omitted aids care precautions","1990 Aug",1990
"aids vaccine","1990 Aug",1990
"second annual meeting of the national cooperative vaccine development groups for aids 15 18 october 1989 fort lauderdale florida","1990 Aug",1990
"dynamics of hiv spread a computer simulation model","1990 Aug",1990
"prevalence of symptomatic sexually transmitted diseases and human immunodeficiency virus infection in outpatients in lilongwe malawi","1990 Aug",1990
"strategy for aids","1990 Aug",1990
"strategy for aids","1990 Aug",1990
"anti cardiolipin antibodies and hiv infection","1990 Aug",1990
"relationship of cocaine use to syphilis and human immunodeficiency virus infections among inner city parturient women","1990 Aug",1990
"preferential infection of cd4 memory t cells by human immunodeficiency virus type 1 evidence for a role in the selective t cell functional defects observed in infected individuals","1990 Aug",1990
"comparison of hospital and community case management programs for persons with aids","1990 Aug",1990
"response of hiv associated disseminated cat scratch disease to treatment with doxycycline","1990 Aug",1990
"visceral bacillary epithelioid angiomatosis possible manifestations of disseminated cat scratch disease in the immunocompromised host a report of two cases","1990 Aug",1990
"survey of exposures practices and recommendations of surgeons in the care of patients with human immunodeficiency virus","1990 Aug",1990
"proctologic management of the hiv positive patient","1990 Aug",1990
"ukcc slams plans for neonatal hiv tests","1990 Aug 1-7",1990
"hiv positive but not symptomatic","1990 Aug 1-7",1990
"retroviruses and multiple sclerosis i analysis of seroreactivity by western blot and radioimmune assay","1990 Aug",1990
"interpretation of western blots of specimens from children infected with human immunodeficiency virus type 1 implications for prognosis and diagnosis","1990 Aug",1990
"respiratory syncytial virus infection in human immunodeficiency virus infected children","1990 Aug",1990
"aids threat leads to changes in production of gloves needles","1990 Aug 1",1990
"case against hiv antibody testing of refugees and immigrants","1990 Aug 1",1990
"concordance of polymerase chain reaction with human immunodeficiency virus antibody detection","1990 Aug",1990
"contrasting prevalence of delta hepatitis markers in parenteral drug abusers with and without aids","1990 Aug",1990
"when the doctor has aids","1990 Aug",1990
"patterns of hiv 1 and htlv i ii in intravenous drug abusers from the middle atlantic and central regions of the usa","1990 Aug",1990
"env gene variability is not directly related to the high cytopathogenicity of an hiv1 variant","1990 Aug",1990
"infection of the human monocytic cell line mono mac6 with human immunodeficiency virus types 1 and 2 results in long term production of virus variants with increased cytopathogenicity for cd4 t cells","1990 Aug",1990
"emergence of viruses resistant to neutralization by v3 specific antibodies in experimental human immunodeficiency virus type 1 iiib infection of chimpanzees","1990 Aug",1990
"antibody mediated in vitro neutralization of human immunodeficiency virus type 1 abolishes infectivity for chimpanzees","1990 Aug",1990
"changes in needle sharing behavior among intravenous drug users san francisco 1986 88","1990 Aug",1990
"sexual histories of heterosexual couples with one hiv infected partner","1990 Aug",1990
"longitudinal predictors of reductions in unprotected anal intercourse among gay men in san francisco the aids behavioral research project","1990 Aug",1990
"maintenance of safer sexual behaviors and predictors of risky sex the san francisco men s health study","1990 Aug",1990
"infrastructure of religious communities a neglected resource for care of people with aids","1990 Aug",1990
"present and the future of aids and tuberculosis in illinois","1990 Aug",1990
"local survey of hiv individuals","1990 Aug",1990
"micromethod for demonstrating increased platelet surface immunoglobulin g findings in acute chronic and human immunodeficiency virus 1 related immunologic thrombocytopenias","1990 Aug",1990
"primary central nervous system lymphomas natural history and response to radiation therapy in 55 patients with acquired immunodeficiency syndrome","1990 Aug",1990
"treatment of intestinal cryptosporidiosis in aids","1990 Aug",1990
"investigation identification and dosage of local anesthetics and antihistaminics in cosmetic products","1990 Aug",1990
"iscom an immunostimulating system","1990 Aug",1990
"reproductive immunology of human immunodeficiency virus hiv 1 infection","1990 Aug",1990
"status of health in india and its future prospects","1990 Aug",1990
"limitations of the concept of needle sharing the practice of frontloading","1990 Aug",1990
"exclusion of blood donors by country of origin and discrimination against black foreigners in the usa","1990 Aug",1990
"poverty and hiv seropositivity the poor are more likely to be infected","1990 Aug",1990
"world health organization quality assessment programme on hiv testing","1990 Aug",1990
"enhancement of erythrocytic adenosine deaminase following treatment of aids related complex aids patients with zidovudine","1990 Aug",1990
"hiv 1 and pregnant women associated factors prevalence estimate of incidence and role in fetal wastage in central africa","1990 Aug",1990
"heterosexual transmission of hiv 1 among employees and their spouses at two large businesses in zaire","1990 Aug",1990
"functional significance of white blood cells in the male and female reproductive tract","1990 Aug",1990
"vaccination in infants born to hiv seropositive mothers","1990 Aug-Sep",1990
"ganglioside as a potential immune modulator selective cd4 modulation and inhibition of human immunodeficiency virus infection","1990 Aug",1990
"evaluation and treatment of mental disorders in patients with aids","1990 Aug",1990
"deterring the progression of hiv infection","1990 Aug",1990
"loneliness in veterans with aids and its relationship to the development of infections","1990 Aug",1990
"an evaluation of the extent to which young people are informed about the acquired immunodeficiency syndrome","1990 Aug",1990
"functional disorders of the immune system","1990 Aug",1990
"mortality and increasing drug use in edinburgh implications for hiv epidemic","1990 Aug",1990
"nursing care of aids patients caring not curing","1990 Aug",1990
"hiv risk continuum","1990 Aug",1990
"hiv related knowledge and behaviors among high school students selected u s sites 1989","1990 Aug",1990
"comparison of aids and std knowledge between sexually active alcohol consumers and abstainers","1990 Aug",1990
"differences in aids knowledge and attitudes by grade level","1990 Aug",1990
"aids hiv education for preservice elementary teachers","1990 Aug",1990
"developmentally based aids hiv education","1990 Aug",1990
"guidelines for hiv and aids student support services","1990 Aug",1990
"imipenem cilastatin treatment of acute infections in aids arc patients","1990 Aug",1990
"role of bacterial cultures from bronchoscopy washings in aids related patients","1990 Aug",1990
"gay men s perceptions and responses to aids","1990 Aug",1990
"zolpidem a review of its pharmacodynamic and pharmacokinetic properties and therapeutic potential","1990 Aug",1990
"establishment and application of serologic diagnosis method in human immunodeficiency virus","1990 Aug",1990
"antibody enhanced infection of monocytes as the pathogenetic mechanism for severe dengue illness","1990 Aug",1990
"effect of interleukin 4 bsf 1 on infection of peripheral blood monocyte derived macrophages with hiv 1","1990 Aug",1990
"macrophages as susceptible targets for hiv infection persistent viral reservoirs in tissue and key immunoregulatory cells that control levels of virus replication and extent of disease","1990 Aug",1990
"role of the monocyte macrophage in influenza virus infection of lymphocytes implications for hiv infection","1990 Aug",1990
"ability of anti hiv agents to inhibit hiv replication in monocyte macrophages or u937 monocytoid cells under conditions of enhancement by gm csf or anti hiv antibody","1990 Aug",1990
"effects of glq223 on hiv replication in human monocyte macrophages chronically infected in vitro with hiv","1990 Aug",1990
"cytotoxic activity against hiv infected monocytes by recombinant interleukin 2 activated natural killer cells","1990 Aug",1990
"agency for the blind receives grant for aids project","1990 Aug",1990
"antiviral substances against what for whom","1990 Aug",1990
"idiopathic inflammatory myopathies","1990 Aug",1990
"maternal and perinatal issues regarding hiv infection","1990 Aug",1990
"thrombocytopenic purpura as first manifestation of human immunodeficiency virus type i hiv 1 infection","1990 Aug",1990
"factors related to the willingness of nurses to care for aids patients in taiwan","1990 Aug",1990
"isbh approves expanded aids group membership","1990 Aug",1990
"loudness growth in 1 2 octave bands lgob a procedure for the assessment of loudness","1990 Aug",1990
"self instruction to prevent hiv infection among african american and hispanic american adolescents","1990 Aug",1990
"use of methylphenidate in a depressed adolescent with aids","1990 Aug",1990
"voluntary blood donor recruitment a strategy to reduce transmission of hiv 1 hepatitis b and syphilis in kinshasa za re","1990 Aug",1990
"low incidence of bleeding from hiv related thrombocytopenia in drug addicts and hemophiliacs implications for therapeutic strategies","1990 Aug",1990
"rapid microscopy technique for detection of pneumocystis carinii in fresh clinical specimens","1990 Aug",1990
"intravenous drug abusers with antisocial personality disorder increased hiv risk behavior","1990 Aug",1990
"self assessed learning needs of oncology nurses caring for individuals with hiv related disorders a national survey","1990 Aug",1990
"primary cns lymphoma lymphomatous meningitis presenting as a cauda equina lesion in an aids patient","1990 Aug",1990
"effect of flurbiprofen on the maintenance of pupillary dilation during cataract surgery","1990 Aug",1990
"susceptibility to hiv infection and aids in italian haemophiliacs is hla associated","1990 Aug",1990
"hiv and aids related musculoskeletal problems","1990 Aug",1990
"surgical pathology of hiv infection lessons from africa","1990 Aug",1990
"oral infections in immunocompromised patients","1990 Aug",1990
"hiv infection and intravenous drug users implications for emergency services","1990 Aug",1990
"varicella zoster virus disease in patients with human immunodeficiency virus infection","1990 Aug",1990
"zidovudine for the treatment of hiv infection","1990 Aug",1990
"population pharmacokinetics of zidovudine the veterans administration cooperative studies group","1990 Aug",1990
"human immunodeficiency virus dna amplification and serology in blood donors","1990 Aug 1",1990
"subcutaneous recombinant granulocyte macrophage colony stimulating factor used as a single agent and in an alternating regimen with azidothymidine in leukopenic patients with severe human immunodeficiency virus infection","1990 Aug 1",1990
"treatment of pneumocystis carinii pneumonia with 1 3 beta glucan synthesis inhibitors","1990 Aug",1990
"intravenous or inhaled pentamidine for treating pneumocystis carinii pneumonia in aids a randomized trial","1990 Aug 1",1990
"inhaled or intravenous pentamidine therapy for pneumocystis carinii pneumonia in aids a randomized trial","1990 Aug 1",1990
"fluconazole compared with amphotericin b plus flucytosine for cryptococcal meningitis in aids a randomized trial","1990 Aug 1",1990
"inducible nuclear factor binding to the kappa b elements of the human immunodeficiency virus enhancer in t cells can be blocked by cyclosporin a in a signal dependent manner","1990 Aug",1990
"monoclonal antibody raised against alzheimer cortex that specifically recognizes a subpopulation of microglial cells","1990 Aug",1990
"ocular manifestation of simian immunodeficiency syndrome saids","1990 Aug",1990
"statistics from the world health organization and the centers for disease control","1990 Aug",1990
"neuropsychometric performance of asymptomatic hiv infected subjects","1990 Aug",1990
"transition dynamics of hiv disease in a cohort of african prostitutes a markov model approach","1990 Aug",1990
"hiv 1 infection of lung alveolar fibroblasts and macrophages in humans","1990 Aug",1990
"characterization of a macrophage tropic hiv strain that does not alter macrophage cytokine production yet protects macrophages from superinfection by vesicular stomatitis virus","1990 Aug",1990
"developmental toxicity of orally administered 2 3 dideoxycytidine in mice","1990 Aug",1990
"vesicular changes in the myopathies of aids ultrastructural observations and their relationship to zidovudine treatment","1990 Aug",1990
"indirect immunofluorescence test performance and questionnaire results from the centers for disease control model performance evaluation program for human immunodeficiency virus type 1 testing","1990 Aug",1990
"management of cytomegalovirus infection in patients with acquired immunodeficiency syndrome","1990 Aug",1990
"health field aids rate underestimated","1990 Aug",1990
"bilateral synchronous testis tumors of different histology in a patient with the acquired immunodeficiency syndrome related complex","1990 Aug",1990
"synthesis and anti hiv activity of several 2 fluoro containing pyrimidine nucleosides","1990 Aug",1990
"evaluation of various tests for the detection of antigen and antibodies in the diagnosis of primary hiv infection","1990 Aug-Sep",1990
"a method of taking finger blood samples for mass examinations for the presence of antibodies to the human immunodeficiency virus","1990 Aug",1990
"reported aids cases in the federal republic of germany including berlin west aids center in the public health department fg epidemiology","1990 Aug-Sep",1990
"current questions in parasitology and infection prevention","1990 Aug-Sep",1990
"aids model program of the federal government an interim evaluation","1990 Aug-Sep",1990
"the hiv epidemic in the german federal republic infection epidemiology interpretation of numbers of aids cases","1990 Aug-Sep",1990
"hypoglycaemia and diabetes mellitus following parenteral pentamidine mesylate treatment in aids patients","1990 Aug",1990
"venture capital group puts up 750 000 to test new treatment for aids related complex","1990 Aug",1990
"aids pathogenesis a dynamic interaction between hiv and the immune system","1990 Aug",1990
"aids testing an ethical question","1990 Aug",1990
"keratotic papules and nodules and hyperkeratosis of palms and soles in a patient with tuberculosis and aids related complex","1990 Aug",1990
"leukocyte function associated antigen 1 expression on peripheral blood mononuclear cell subsets in hiv 1 seropositive patients","1990 Aug",1990
"cutaneous response to recombinant interleukin 2 in human immunodeficiency virus 1 seropositive individuals","1990 Aug",1990
"effects of interferon in malaria infection","1990 Aug",1990
"incidence of antibodies against human immunodeficiency virus human t cell lymphotropic virus type 1 hepatitis b virus hemorrhagic fever with renal syndrome virus and chlamydia in tonga and western samoa","1990 Aug",1990
"hiv excretion patterns and specific antibody responses in body fluids","1990 Aug",1990
"developing aids counselling services problems and problem solving","1990 Aug",1990
"permissivity of primary cultures of human kupffer cells for hiv 1","1990 Aug",1990
"restriction of hiv replication in infected t cells and monocytes by interferon alpha","1990 Aug",1990
"serum p24 antigen levels in untreated and zidovudine treated hiv 1 infected subjects","1990 Aug",1990
"kaposi s sarcoma angioimmunoblastic lymphadenopathy and antibody to hiv 1 p24 antigen in a patient nonreactive for hiv 1 with use of elisa","1990 Aug",1990
"hepatitis c infection in two urban hemodialysis units","1990 Aug",1990
"cytokine secretion effected by synergism of the immunomodulator as101 and the protein kinase c inducer bryostatin","1990 Aug",1990
"aids and hiv infection nurses show basic lack of knowledge","1990 Aug 1-7",1990
"age and human immunodeficiency virus infection in persons with hemophilia in california","1990 Aug",1990
"relationship of partially purified factor concentrates to immune tests and aids the hemophilia aids collaborative study group","1990 Aug",1990
"review article treatment of the gastrointestinal manifestations of aids","1990 Aug",1990
"multiple transient ischaemic attacks and a mild thrombotic stroke in a hiv positive patient with anticardiolipin antibodies","1990 Aug",1990
"aids prevention for intravenous drug users in the community street based education and risk behavior","1990 Aug",1990
"model based analysis of cd4 lymphocyte dynamics in hiv infected individuals","1990 Aug",1990
"anti hiv 1 activity of antiviral compounds as quantitated by a focal immunoassay in cd4 hela cells and a plaque assay in mt 4 cells","1990 Aug",1990
"syncytium induction by fresh hiv isolates quantitative analysis using a transactivation beta gal assay","1990 Aug",1990
"infection of cynomolgus monkeys with hiv 2 protects against pathogenic consequences of a subsequent simian immunodeficiency virus infection","1990 Aug",1990
